Site,Parameter,Interval,,,,,,,,,,,,
KENMORE,SO2T,005m,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Date,Hour,00,05,10,15,20,25,30,35,40,45,50,55
,4/14/2024,0,0.34,0.33,0.34,0.35,0.35,0.33,0.29,0.27,0.29,0.31,0.34,0.34
,4/14/2024,1,0.35,0.33,0.33,0.34,0.34,0.33,0.31,0.3,0.31,0.29,0.28,0.3
,4/14/2024,2,0.3,0.29,0.26,0.24,0.26,0.28,0.28,0.27,0.27,0.27,0.28,0.28
,4/14/2024,3,0.28,0.28,0.29,0.29,0.3,0.31,0.3,0.31,0.29,0.31,0.3,0.3
,4/14/2024,4,0.29,0.26,0.23,0.22,0.24,0.28,0.3,0.3,0.28,0.26,0.25,0.25
,4/14/2024,5,0.26,0.27,0.29,0.28,0.28,0.26,0.25,0.25,0.27,0.27,0.3,0.29
,4/14/2024,6,0.3,0.26,0.25,0.25,0.25,0.26,0.28,0.31,0.33,0.29,0.25,0.25
,4/14/2024,7,0.26,0.29,0.36,0.38,0.38,0.32,0.28,0.29,0.27,0.27,0.24,0.24
,4/14/2024,8,0.24,0.24,0.24,0.27,0.3,0.31,0.32,0.32,0.33,0.29,0.27,0.25
,4/14/2024,9,0.27,0.3,0.33,0.31,0.27,0.28,0.29,0.3,0.25,0.23,0.24,0.26
,4/14/2024,10,0.27,0.25,0.25,0.26,0.29,0.31,0.32,0.3,0.3,0.29,0.29,0.3
,4/14/2024,11,0.29,0.31,0.32,0.31,0.3,0.28,0.28,0.28,0.29,0.3,0.33,0.34
,4/14/2024,12,0.35,0.35,0.33,0.31,0.33,0.37,0.4,0.4,0.41,0.4,0.35,0.3
,4/14/2024,13,0.27,0.3,0.31,0.32,0.3,0.28,0.28,0.29,0.29,0.31,0.33,0.34
,4/14/2024,14,0.32,0.34,0.35,0.34,0.3,0.27,0.26,0.27,0.28,0.28,0.28,0.32
,4/14/2024,15,0.34,0.34,0.32,0.35,0.37,0.37,0.32,0.3,0.31,0.33,0.34,0.35
,4/14/2024,16,0.35,0.37,0.38,0.39,0.38,0.35,0.34,0.31,0.33,0.31,0.3,0.32
,4/14/2024,17,0.32,0.34,0.33,0.31,0.3,0.27,0.3,0.3,0.31,0.26,0.25,0.27
,4/14/2024,18,0.32,0.33,0.33,0.34,0.33,0.36,0.36,0.35,0.32,0.3,0.3,0.34
,4/14/2024,19,0.34,0.35,0.34,0.33,0.37,0.38,0.36,0.3,0.29,0.29,0.31,0.35
,4/14/2024,20,0.34,0.36,0.33,0.35,0.36,0.37,0.37,0.36,0.36,0.34,0.33,0.3
,4/14/2024,21,0.29,0.29,0.32,0.33,0.37,0.36,0.36,0.35,0.37,0.38,0.37,0.32
,4/14/2024,22,0.3,0.3,0.33,0.31,0.3,0.29,0.32,0.34,0.32,0.29,0.27,0.27
,4/14/2024,23,0.3,0.31,0.32,0.32,0.3,0.31,0.28,0.27,0.27,0.28,0.32,0.33
